view_date,doctor_id,facility_id,channel
2024-05-22,D0333,F200,Webinar
2024-07-03,D0333,F200,Webinar
2024-08-11,D0333,F200,Webinar
2024-08-13,D0333,F200,Webinar
2024-10-23,D0333,F200,Webinar
2024-12-31,D0333,F200,Webinar
2025-08-05,D0333,F200,Webinar
2025-08-21,D0333,F200,Webinar
2025-09-01,D0333,F200,Webinar
2025-09-17,D0333,F200,Webinar
2025-10-26,D0333,F200,Webinar
2024-01-07,D0333,F200,web講演会
2024-02-02,D0333,F200,web講演会
2024-09-07,D0333,F200,web講演会
2024-10-02,D0333,F200,web講演会
2024-10-12,D0333,F200,web講演会
2024-10-16,D0333,F200,web講演会
2024-10-31,D0333,F200,web講演会
2024-12-11,D0333,F200,web講演会
2025-04-28,D0333,F200,web講演会
2025-06-02,D0333,F200,web講演会
2025-06-05,D0333,F200,web講演会
2025-07-17,D0333,F200,web講演会
2025-07-26,D0333,F200,web講演会
2025-08-13,D0333,F200,web講演会
2025-09-16,D0333,F200,web講演会
2025-09-24,D0333,F200,web講演会
2025-10-23,D0333,F200,web講演会
2023-06-20,D0333,F200,e-contents
2023-07-03,D0333,F200,e-contents
2023-11-11,D0333,F200,e-contents
2023-11-16,D0333,F200,e-contents
2023-12-12,D0333,F200,e-contents
2024-01-02,D0333,F200,e-contents
2024-02-10,D0333,F200,e-contents
2024-03-16,D0333,F200,e-contents
2024-04-04,D0333,F200,e-contents
2024-05-31,D0333,F200,e-contents
2024-06-01,D0333,F200,e-contents
2024-07-02,D0333,F200,e-contents
2024-08-10,D0333,F200,e-contents
2024-10-03,D0333,F200,e-contents
2024-11-14,D0333,F200,e-contents
2025-01-04,D0333,F200,e-contents
2025-03-03,D0333,F200,e-contents
2025-05-13,D0333,F200,e-contents
2025-06-08,D0333,F200,e-contents
2025-07-08,D0333,F200,e-contents
2025-07-21,D0333,F200,e-contents
2025-08-09,D0333,F200,e-contents
2025-08-21,D0333,F200,e-contents
2025-09-07,D0333,F200,e-contents
2025-11-05,D0333,F200,e-contents
2025-12-27,D0333,F200,e-contents
2024-06-01,D0112,F112,e-contents
2024-07-29,D0112,F112,e-contents
2024-08-31,D0112,F112,e-contents
2024-10-16,D0112,F112,e-contents
2024-11-24,D0112,F112,e-contents
2024-12-07,D0112,F112,e-contents
2025-01-17,D0112,F112,e-contents
2025-02-06,D0112,F112,e-contents
2025-02-19,D0112,F112,e-contents
2025-04-02,D0112,F112,e-contents
2025-05-26,D0112,F112,e-contents
2025-05-28,D0112,F112,e-contents
2025-06-21,D0112,F112,e-contents
2025-08-17,D0112,F112,e-contents
2025-08-29,D0112,F112,e-contents
2025-09-05,D0112,F112,e-contents
2025-12-28,D0112,F112,e-contents
2024-10-17,D0112,F112,Webinar
2024-11-16,D0112,F112,Webinar
2024-12-28,D0112,F112,Webinar
2025-02-11,D0112,F112,Webinar
2025-02-25,D0112,F112,Webinar
2025-03-14,D0112,F112,Webinar
2025-03-16,D0112,F112,Webinar
2025-04-06,D0112,F112,Webinar
2025-05-06,D0112,F112,Webinar
2025-05-18,D0112,F112,Webinar
2025-09-11,D0112,F112,Webinar
2025-11-14,D0112,F112,Webinar
2024-03-14,D0112,F112,web講演会
2024-05-02,D0112,F112,web講演会
2024-05-03,D0112,F112,web講演会
2024-07-17,D0112,F112,web講演会
2024-10-04,D0112,F112,web講演会
2024-10-21,D0112,F112,web講演会
2025-05-01,D0112,F112,web講演会
2025-05-16,D0112,F112,web講演会
2025-05-28,D0112,F112,web講演会
2025-05-29,D0112,F112,web講演会
2025-06-30,D0112,F112,web講演会
2025-09-01,D0112,F112,web講演会
2025-09-08,D0112,F112,web講演会
2025-11-19,D0112,F112,web講演会
2025-12-20,D0112,F112,web講演会
2024-03-17,D0114,F114,e-contents
2025-02-21,D0114,F114,e-contents
2025-04-29,D0114,F114,e-contents
2025-05-25,D0114,F114,e-contents
2025-07-11,D0114,F114,e-contents
2025-07-23,D0114,F114,e-contents
2025-09-27,D0114,F114,e-contents
2023-10-10,D0114,F114,Webinar
2023-11-03,D0114,F114,Webinar
2024-01-22,D0114,F114,Webinar
2024-03-23,D0114,F114,Webinar
2024-04-08,D0114,F114,Webinar
2024-05-04,D0114,F114,Webinar
2024-07-01,D0114,F114,Webinar
2024-08-02,D0114,F114,Webinar
2024-08-06,D0114,F114,Webinar
2024-08-29,D0114,F114,Webinar
2024-09-16,D0114,F114,Webinar
2023-09-20,D0326,F198,web講演会
2023-11-09,D0326,F198,web講演会
2024-01-26,D0326,F198,web講演会
2024-02-05,D0326,F198,web講演会
2024-02-15,D0326,F198,web講演会
2024-03-07,D0326,F198,web講演会
2024-03-08,D0326,F198,web講演会
2024-06-10,D0326,F198,web講演会
2024-09-02,D0326,F198,web講演会
2024-09-09,D0326,F198,web講演会
2024-11-07,D0326,F198,web講演会
2024-11-27,D0326,F198,web講演会
2024-12-30,D0326,F198,web講演会
2025-03-24,D0326,F198,web講演会
2025-04-09,D0326,F198,web講演会
2025-11-28,D0326,F198,web講演会
2025-12-11,D0326,F198,web講演会
2024-07-13,D0326,F198,Webinar
2024-10-15,D0326,F198,Webinar
2024-11-13,D0326,F198,Webinar
2024-12-14,D0326,F198,Webinar
2024-12-31,D0326,F198,Webinar
2025-02-24,D0326,F198,Webinar
2025-03-10,D0326,F198,Webinar
2025-03-28,D0326,F198,Webinar
2025-05-20,D0326,F198,Webinar
2025-07-29,D0326,F198,Webinar
2025-09-28,D0326,F198,Webinar
2025-10-16,D0326,F198,Webinar
2025-10-20,D0326,F198,Webinar
2025-10-21,D0326,F198,Webinar
2025-10-26,D0326,F198,Webinar
2023-11-09,D0312,F195,e-contents
2023-12-20,D0312,F195,e-contents
2024-03-01,D0312,F195,e-contents
2024-03-02,D0312,F195,e-contents
2024-03-27,D0312,F195,e-contents
2024-05-08,D0312,F195,web講演会
2024-06-24,D0312,F195,web講演会
2024-07-12,D0312,F195,web講演会
2024-11-12,D0312,F195,web講演会
2025-01-31,D0312,F195,web講演会
2025-02-04,D0312,F195,web講演会
2025-02-06,D0312,F195,web講演会
2025-02-22,D0312,F195,web講演会
2025-06-21,D0327,F198,e-contents
2025-07-04,D0327,F198,e-contents
2025-07-18,D0327,F198,e-contents
2023-06-08,D0145,F133,Webinar
2023-06-30,D0145,F133,Webinar
2023-09-02,D0145,F133,Webinar
2023-09-04,D0145,F133,Webinar
2023-10-10,D0145,F133,Webinar
2023-12-20,D0145,F133,Webinar
2024-02-02,D0145,F133,Webinar
2024-02-29,D0145,F133,Webinar
2024-01-24,D0240,F174,e-contents
2024-01-31,D0240,F174,e-contents
2024-02-08,D0240,F174,e-contents
2024-03-24,D0240,F174,e-contents
2024-06-18,D0240,F174,e-contents
2024-09-03,D0240,F174,e-contents
2024-09-14,D0240,F174,e-contents
2024-12-06,D0240,F174,e-contents
2024-12-19,D0240,F174,e-contents
2025-02-10,D0240,F174,e-contents
2025-03-15,D0240,F174,e-contents
2025-05-18,D0240,F174,e-contents
2025-05-26,D0240,F174,e-contents
